zipcode,Period,Region,MSP
92071,2012-Q4,San Carlos,279000.0
92071,2013-Q1,San Carlos,373000.0
92071,2013-Q2,San Carlos,426667.0
92071,2013-Q3,San Carlos,432667.0
92071,2013-Q4,San Carlos,373667.0
92071,2014-Q1,San Carlos,338333.0
92071,2014-Q2,San Carlos,438333.0
92071,2014-Q3,San Carlos,399000.0
92071,2014-Q4,San Carlos,449000.0
92071,2015-Q1,San Carlos,489333.0
92071,2015-Q2,San Carlos,481333.0
92071,2015-Q3,San Carlos,493333.0
92071,2015-Q4,San Carlos,520667.0
92071,2016-Q1,San Carlos,526333.0
92071,2016-Q2,San Carlos,458667.0
92071,2016-Q3,San Carlos,534667.0
92071,2016-Q4,San Carlos,531667.0
92071,2017-Q1,San Carlos,445667.0
92071,2017-Q2,San Carlos,514333.0
92071,2017-Q3,San Carlos,519333.0
92071,2017-Q4,San Carlos,481667.0
92071,2018-Q1,San Carlos,446000.0
92071,2018-Q2,San Carlos,585000.0
92101,2012-Q1,Core-Columbia,419000.0
92101,2012-Q1,Cortez,250000.0
92101,2012-Q1,East Village,315000.0
92101,2012-Q1,Gaslamp,207333.0
92101,2012-Q1,Harborview,327000.0
92101,2012-Q1,Little Italy,224000.0
92101,2012-Q1,Marina,500000.0
92101,2012-Q2,Core-Columbia,511667.0
92101,2012-Q2,Cortez,266333.0
92101,2012-Q2,East Village,350000.0
92101,2012-Q2,Gaslamp,194333.0
92101,2012-Q2,Harborview,474667.0
92101,2012-Q2,Little Italy,281667.0
92101,2012-Q2,Marina,507667.0
92101,2012-Q3,Core-Columbia,604667.0
92101,2012-Q3,Cortez,358000.0
92101,2012-Q3,East Village,362667.0
92101,2012-Q3,Gaslamp,212667.0
92101,2012-Q3,Harborview,541333.0
92101,2012-Q3,Little Italy,289333.0
92101,2012-Q3,Marina,565000.0
92101,2012-Q4,Core-Columbia,561667.0
92101,2012-Q4,Cortez,315333.0
92101,2012-Q4,East Village,363000.0
92101,2012-Q4,Gaslamp,245667.0
92101,2012-Q4,Harborview,487000.0
92101,2012-Q4,Little Italy,339333.0
92101,2012-Q4,Marina,486667.0
92101,2013-Q1,Core-Columbia,562667.0
92101,2013-Q1,Cortez,322667.0
92101,2013-Q1,East Village,336667.0
92101,2013-Q1,Gaslamp,288667.0
92101,2013-Q1,Harborview,415000.0
92101,2013-Q1,Little Italy,316667.0
92101,2013-Q1,Marina,556000.0
92101,2013-Q2,Core-Columbia,649333.0
92101,2013-Q2,Cortez,359667.0
92101,2013-Q2,East Village,377333.0
92101,2013-Q2,Gaslamp,253667.0
92101,2013-Q2,Harborview,560667.0
92101,2013-Q2,Little Italy,387667.0
92101,2013-Q2,Marina,589000.0
92101,2013-Q3,Core-Columbia,555333.0
92101,2013-Q3,Cortez,381667.0
92101,2013-Q3,East Village,377667.0
92101,2013-Q3,Gaslamp,300667.0
92101,2013-Q3,Harborview,645000.0
92101,2013-Q3,Little Italy,397000.0
92101,2013-Q3,Marina,663000.0
92101,2013-Q4,Core-Columbia,680333.0
92101,2013-Q4,Cortez,391667.0
92101,2013-Q4,East Village,431667.0
92101,2013-Q4,Gaslamp,351000.0
92101,2013-Q4,Harborview,610000.0
92101,2013-Q4,Little Italy,403667.0
92101,2013-Q4,Marina,623333.0
92101,2014-Q1,Core-Columbia,485333.0
92101,2014-Q1,Cortez,407333.0
92101,2014-Q1,East Village,412333.0
92101,2014-Q1,Gaslamp,317667.0
92101,2014-Q1,Harborview,488667.0
92101,2014-Q1,Little Italy,381333.0
92101,2014-Q1,Marina,672667.0
92101,2014-Q2,Core-Columbia,508667.0
92101,2014-Q2,Cortez,410000.0
92101,2014-Q2,East Village,443333.0
92101,2014-Q2,Gaslamp,311333.0
92101,2014-Q2,Harborview,583333.0
92101,2014-Q2,Little Italy,399333.0
92101,2014-Q2,Marina,710333.0
92101,2014-Q3,Core-Columbia,631000.0
92101,2014-Q3,Cortez,380333.0
92101,2014-Q3,East Village,445333.0
92101,2014-Q3,Gaslamp,325667.0
92101,2014-Q3,Harborview,510000.0
92101,2014-Q3,Little Italy,381333.0
92101,2014-Q3,Marina,596667.0
92101,2014-Q4,Core-Columbia,640000.0
92101,2014-Q4,Cortez,423667.0
92101,2014-Q4,East Village,474000.0
92101,2014-Q4,Gaslamp,310667.0
92101,2014-Q4,Harborview,632667.0
92101,2014-Q4,Little Italy,393667.0
92101,2014-Q4,Marina,606667.0
92101,2015-Q1,Core-Columbia,537667.0
92101,2015-Q1,Cortez,430667.0
92101,2015-Q1,East Village,461000.0
92101,2015-Q1,Gaslamp,334333.0
92101,2015-Q1,Harborview,625667.0
92101,2015-Q1,Little Italy,451667.0
92101,2015-Q1,Marina,611333.0
92101,2015-Q2,Core-Columbia,732667.0
92101,2015-Q2,Cortez,373333.0
92101,2015-Q2,East Village,451667.0
92101,2015-Q2,Gaslamp,356333.0
92101,2015-Q2,Harborview,394000.0
92101,2015-Q2,Little Italy,447667.0
92101,2015-Q2,Marina,646333.0
92101,2015-Q3,Core-Columbia,763333.0
92101,2015-Q3,Cortez,388000.0
92101,2015-Q3,East Village,445333.0
92101,2015-Q3,Gaslamp,345000.0
92101,2015-Q3,Harborview,614333.0
92101,2015-Q3,Little Italy,442667.0
92101,2015-Q3,Marina,633000.0
92101,2015-Q4,Core-Columbia,699000.0
92101,2015-Q4,Cortez,386333.0
92101,2015-Q4,East Village,448667.0
92101,2015-Q4,Gaslamp,371000.0
92101,2015-Q4,Harborview,555333.0
92101,2015-Q4,Little Italy,449000.0
92101,2015-Q4,Marina,658667.0
92101,2016-Q1,Core-Columbia,589667.0
92101,2016-Q1,Cortez,346333.0
92101,2016-Q1,East Village,413333.0
92101,2016-Q1,Gaslamp,362333.0
92101,2016-Q1,Harborview,412000.0
92101,2016-Q1,Little Italy,439000.0
92101,2016-Q1,Marina,660667.0
92101,2016-Q2,Core-Columbia,655000.0
92101,2016-Q2,Cortez,386333.0
92101,2016-Q2,East Village,444333.0
92101,2016-Q2,Gaslamp,496000.0
92101,2016-Q2,Harborview,509333.0
92101,2016-Q2,Little Italy,501000.0
92101,2016-Q2,Marina,619667.0
92101,2016-Q3,Core-Columbia,837667.0
92101,2016-Q3,Cortez,451667.0
92101,2016-Q3,East Village,426333.0
92101,2016-Q3,Gaslamp,423667.0
92101,2016-Q3,Harborview,674333.0
92101,2016-Q3,Little Italy,480000.0
92101,2016-Q3,Marina,622667.0
92101,2016-Q4,Core-Columbia,762667.0
92101,2016-Q4,Cortez,432667.0
92101,2016-Q4,East Village,461333.0
92101,2016-Q4,Gaslamp,419333.0
92101,2016-Q4,Harborview,571667.0
92101,2016-Q4,Little Italy,467667.0
92101,2016-Q4,Marina,642000.0
92101,2017-Q1,Core-Columbia,616333.0
92101,2017-Q1,Cortez,401333.0
92101,2017-Q1,East Village,524333.0
92101,2017-Q1,Gaslamp,436333.0
92101,2017-Q1,Harborview,661000.0
92101,2017-Q1,Little Italy,460667.0
92101,2017-Q1,Marina,660333.0
92101,2017-Q2,Core-Columbia,663000.0
92101,2017-Q2,Cortez,423000.0
92101,2017-Q2,East Village,486000.0
92101,2017-Q2,Gaslamp,441667.0
92101,2017-Q2,Harborview,574000.0
92101,2017-Q2,Little Italy,492667.0
92101,2017-Q2,Marina,613000.0
92101,2017-Q3,Core-Columbia,725000.0
92101,2017-Q3,Cortez,451000.0
92101,2017-Q3,East Village,501000.0
92101,2017-Q3,Gaslamp,398333.0
92101,2017-Q3,Harborview,490000.0
92101,2017-Q3,Little Italy,494333.0
92101,2017-Q3,Marina,708333.0
92101,2017-Q4,Core-Columbia,705000.0
92101,2017-Q4,Cortez,459000.0
92101,2017-Q4,East Village,486333.0
92101,2017-Q4,Gaslamp,435000.0
92101,2017-Q4,Harborview,698333.0
92101,2017-Q4,Little Italy,484333.0
92101,2017-Q4,Marina,673667.0
92101,2018-Q1,Core-Columbia,548333.0
92101,2018-Q1,Cortez,441667.0
92101,2018-Q1,East Village,453333.0
92101,2018-Q1,Gaslamp,439000.0
92101,2018-Q1,Harborview,702333.0
92101,2018-Q1,Little Italy,526000.0
92101,2018-Q1,Marina,682333.0
92101,2018-Q2,Core-Columbia,513000.0
92101,2018-Q2,Cortez,438000.0
92101,2018-Q2,East Village,450000.0
92101,2018-Q2,Gaslamp,425000.0
92101,2018-Q2,Harborview,870000.0
92101,2018-Q2,Little Italy,555000.0
92101,2018-Q2,Marina,640000.0
92102,2012-Q1,Chollas View,166667.0
92102,2012-Q1,Golden Hill,270000.0
92102,2012-Q1,Lincoln Park,200333.0
92102,2012-Q1,Mt Hope,157000.0
92102,2012-Q1,Stockton,254333.0
92102,2012-Q2,Chollas View,166000.0
92102,2012-Q2,Golden Hill,329000.0
92102,2012-Q2,Lincoln Park,246333.0
92102,2012-Q2,Mt Hope,161667.0
92102,2012-Q2,Stockton,197667.0
92102,2012-Q3,Chollas View,208333.0
92102,2012-Q3,Golden Hill,214000.0
92102,2012-Q3,Lincoln Park,236667.0
92102,2012-Q3,Mt Hope,212000.0
92102,2012-Q3,Stockton,218000.0
92102,2012-Q4,Chollas View,218333.0
92102,2012-Q4,Golden Hill,305000.0
92102,2012-Q4,Lincoln Park,245333.0
92102,2012-Q4,Mt Hope,231667.0
92102,2012-Q4,Stockton,152000.0
92102,2013-Q1,Chollas View,201667.0
92102,2013-Q1,Golden Hill,232333.0
92102,2013-Q1,Lincoln Park,253333.0
92102,2013-Q1,Mt Hope,217667.0
92102,2013-Q1,Stockton,159667.0
92102,2013-Q2,Chollas View,163667.0
92102,2013-Q2,Golden Hill,371667.0
92102,2013-Q2,Lincoln Park,267000.0
92102,2013-Q2,Mt Hope,228000.0
92102,2013-Q2,Stockton,178333.0
92102,2013-Q3,Chollas View,207667.0
92102,2013-Q3,Golden Hill,307667.0
92102,2013-Q3,Lincoln Park,247000.0
92102,2013-Q3,Mt Hope,252333.0
92102,2013-Q3,Stockton,219667.0
92102,2013-Q4,Chollas View,201667.0
92102,2013-Q4,Golden Hill,318333.0
92102,2013-Q4,Lincoln Park,299000.0
92102,2013-Q4,Mt Hope,242000.0
92102,2013-Q4,Stockton,285667.0
92102,2014-Q1,Chollas View,287000.0
